TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,ClusterKMeans
137.35,Credit,Sacramento,Online,40,Doctor,220,1,12662.66,3
712.75,Debit,Philadelphia,Branch,44,Doctor,25,1,8126.06,4
353.82,Debit,Milwaukee,ATM,42,Doctor,143,1,705.75,2
507.25,Debit,Washington,Branch,73,Retired,143,1,5331.57,1
212.74,Debit,Seattle,Branch,27,Engineer,128,1,7645.47,3
364.42,Debit,Colorado Springs,ATM,51,Engineer,146,1,8119.73,3
195.12,Debit,Louisville,ATM,46,Doctor,144,1,6101.15,3
230.61,Debit,Raleigh,Branch,80,Retired,204,1,2561.42,0
739.28,Credit,Tucson,Branch,58,Doctor,47,1,11905.64,4
390.35,Credit,Omaha,ATM,64,Doctor,61,1,7095.88,1
242.03,Debit,Dallas,Online,58,Engineer,124,1,4382.73,1
242.39,Credit,San Antonio,ATM,18,Student,271,1,1328.73,0
135.03,Debit,San Francisco,ATM,23,Student,180,1,1278.0,2
83.5,Debit,Dallas,Branch,61,Retired,91,5,1749.79,1
193.54,Debit,Oklahoma City,Branch,80,Retired,267,1,2929.51,0
617.36,Debit,Kansas City,Branch,29,Engineer,61,1,8926.38,4
775.23,Credit,Albuquerque,Online,59,Doctor,38,1,5977.59,4
266.57,Debit,El Paso,ATM,72,Retired,100,1,7676.92,1
153.4,Debit,Mesa,ATM,45,Engineer,144,1,4657.7,1
946.94,Debit,Charlotte,Branch,53,Retired,251,1,5579.11,4
5.12,Debit,New York,Branch,34,Engineer,90,1,3293.01,2
119.11,Debit,Detroit,ATM,57,Engineer,131,1,7998.25,3
1096.7,Debit,Colorado Springs,Online,24,Student,147,1,1093.89,4
119.72,Debit,Tucson,Branch,30,Engineer,123,1,3435.34,2
107.4,Debit,Virginia Beach,Online,58,Doctor,32,1,344.07,1
115.92,Debit,Raleigh,ATM,53,Retired,57,1,3897.17,1
438.04,Debit,Philadelphia,ATM,67,Retired,247,1,5358.95,0
677.29,Debit,Houston,Online,27,Engineer,287,1,627.79,0
296.0,Debit,Las Vegas,Branch,35,Doctor,248,1,7418.82,0
299.09,Credit,Boston,Branch,36,Engineer,84,1,5615.26,2
461.52,Credit,Denver,Branch,24,Student,44,1,1995.18,2
100.52,Debit,Las Vegas,ATM,50,Engineer,110,1,453.39,1
85.35,Debit,Washington,ATM,66,Retired,166,1,2173.76,1
79.76,Debit,Raleigh,Branch,39,Engineer,170,1,6452.14,0
778.49,Credit,Omaha,Online,75,Retired,107,1,7713.67,4
386.38,Debit,Phoenix,Online,42,Engineer,135,1,5528.36,4
165.25,Debit,Sacramento,Online,35,Doctor,106,1,9939.94,3
14.29,Debit,Los Angeles,ATM,34,Engineer,150,1,7016.99,3
232.79,Credit,Indianapolis,Branch,55,Retired,145,1,2661.3,1
1237.56,Credit,Austin,Branch,60,Engineer,159,1,9410.17,4
92.29,Debit,Albuquerque,Branch,54,Engineer,115,1,2026.32,1
293.97,Debit,Phoenix,Branch,68,Retired,153,1,7371.85,1
136.32,Debit,Miami,Online,19,Student,113,1,264.83,2
251.06,Debit,Colorado Springs,Online,36,Doctor,34,1,10001.66,3
50.17,Credit,Sacramento,ATM,77,Retired,35,1,7752.14,1
21.4,Debit,Fresno,Branch,34,Engineer,258,1,9594.11,0
73.28,Debit,Boston,Branch,21,Student,21,1,1329.41,2
70.23,Debit,Memphis,ATM,38,Doctor,260,1,11624.93,0
689.29,Debit,El Paso,ATM,22,Student,100,1,168.84,4
745.03,Debit,Fort Worth,Online,28,Student,231,1,160.57,4
54.61,Debit,Milwaukee,ATM,58,Engineer,160,1,7135.64,1
54.05,Debit,Louisville,Branch,27,Student,146,1,469.14,2
107.47,Debit,Austin,Online,67,Retired,144,1,7517.5,1
611.11,Debit,Detroit,ATM,20,Student,282,4,919.84,0
219.63,Debit,Charlotte,ATM,48,Doctor,44,1,8013.63,3
188.7,Debit,New York,Branch,54,Retired,123,1,5077.06,1
93.52,Debit,Philadelphia,Online,51,Engineer,97,1,2791.2,1
275.92,Credit,Nashville,Branch,62,Retired,107,1,1777.38,1
376.79,Debit,Milwaukee,Branch,68,Retired,265,1,7749.14,0
8.98,Debit,Detroit,Online,66,Retired,56,1,4516.76,1
697.32,Debit,Atlanta,Online,68,Retired,91,1,2016.02,4
17.45,Debit,Omaha,ATM,18,Student,88,1,1959.52,2
302.16,Debit,Kansas City,Online,80,Retired,138,5,3876.61,1
442.74,Debit,San Diego,Branch,23,Student,136,1,1790.27,2
623.9,Debit,San Jose,ATM,27,Student,249,1,711.47,0
445.41,Debit,Fresno,ATM,35,Doctor,235,3,12154.66,0
63.41,Debit,Fort Worth,ATM,26,Student,36,1,1546.22,2
346.85,Debit,Kansas City,ATM,44,Doctor,88,1,7208.15,3
71.95,Credit,Omaha,Online,59,Engineer,53,1,9267.32,3
7.5,Debit,Dallas,Online,63,Retired,36,1,6485.78,1
206.46,Debit,Virginia Beach,ATM,65,Retired,279,1,3984.38,0
423.11,Debit,Columbus,ATM,60,Engineer,47,1,412.78,1
35.84,Credit,Colorado Springs,Online,54,Retired,172,1,4795.65,0
88.6,Credit,Raleigh,Branch,28,Student,105,1,246.57,2
1431.3,Debit,Oklahoma City,ATM,18,Student,168,1,1058.13,4
53.81,Credit,Raleigh,ATM,55,Engineer,37,2,2564.62,1
22.46,Debit,New York,Online,54,Retired,78,1,6631.5,1
334.89,Debit,Fort Worth,Online,21,Student,260,1,1661.68,0
319.27,Credit,Omaha,Online,54,Retired,59,1,5504.01,1
144.3,Debit,Oklahoma City,ATM,18,Student,88,1,312.19,2
348.7,Credit,Fresno,Branch,69,Retired,149,1,2445.58,1
366.21,Debit,Oklahoma City,ATM,62,Doctor,181,1,10862.99,3
99.11,Debit,Philadelphia,Online,55,Retired,12,1,5414.87,1
539.35,Debit,Milwaukee,ATM,55,Retired,127,1,3919.44,4
188.99,Debit,Oklahoma City,Branch,58,Engineer,92,1,7315.34,1
1416.69,Debit,Nashville,ATM,46,Engineer,58,1,3740.73,4
710.14,Debit,El Paso,ATM,26,Student,227,1,465.63,4
308.68,Debit,Milwaukee,Online,53,Doctor,170,1,9992.36,3
166.68,Debit,Mesa,ATM,57,Retired,139,1,5141.19,1
0.99,Debit,Los Angeles,ATM,45,Engineer,133,1,4317.85,1
505.19,Debit,Kansas City,ATM,30,Doctor,128,5,5326.68,4
66.58,Debit,Raleigh,Branch,23,Student,79,1,1636.32,2
223.43,Debit,Dallas,Branch,77,Retired,178,1,7932.41,1
659.95,Debit,Detroit,Online,60,Engineer,114,1,3927.69,4
634.86,Debit,Chicago,ATM,27,Student,45,1,588.5,4
286.5,Credit,Boston,Branch,30,Engineer,60,1,8517.95,3
322.96,Credit,Philadelphia,Branch,76,Retired,168,1,2401.59,1
654.48,Debit,Columbus,Branch,19,Student,114,1,6776.41,4
157.97,Debit,Philadelphia,Branch,48,Doctor,140,1,5529.92,1
120.9,Debit,Tucson,Branch,40,Doctor,52,1,9009.42,3
254.77,Debit,Denver,Branch,57,Engineer,57,1,5994.87,1
795.96,Debit,Raleigh,Online,65,Retired,119,1,5468.58,4
149.25,Debit,Omaha,ATM,39,Engineer,142,1,5677.52,3
3.42,Credit,San Antonio,Online,43,Doctor,158,1,14180.21,3
68.19,Credit,Fresno,Online,40,Doctor,189,1,9895.1,3
493.42,Debit,Baltimore,Branch,39,Engineer,111,1,2232.84,4
37.57,Debit,El Paso,ATM,57,Retired,42,1,7739.54,1
127.0,Credit,Nashville,Branch,19,Student,68,5,431.16,2
96.89,Debit,Sacramento,ATM,59,Retired,53,1,6044.93,1
448.33,Debit,Atlanta,ATM,25,Student,161,1,922.19,2
1116.48,Debit,San Diego,ATM,51,Engineer,55,1,447.53,4
8.65,Debit,Las Vegas,Online,48,Doctor,273,1,10778.35,0
65.57,Debit,Miami,Online,41,Engineer,82,1,7513.79,3
539.81,Debit,San Francisco,Online,46,Engineer,177,1,2051.25,4
363.53,Debit,Kansas City,ATM,63,Retired,142,1,1038.91,1
64.9,Credit,Detroit,Branch,51,Retired,72,1,6854.61,1
358.18,Debit,Boston,ATM,18,Student,157,1,619.86,2
167.2,Debit,San Antonio,Branch,30,Doctor,84,1,11320.83,3
121.91,Debit,Chicago,Branch,60,Doctor,133,1,14510.8,3
137.57,Debit,Louisville,Online,54,Engineer,70,1,5103.67,1
534.62,Debit,Oklahoma City,Online,55,Doctor,45,1,13793.53,3
463.92,Debit,Mesa,Online,50,Engineer,199,1,2403.39,0
320.14,Debit,Milwaukee,Online,60,Retired,96,1,3075.97,1
214.93,Debit,Albuquerque,Online,28,Student,52,1,7835.4,3
660.02,Debit,Nashville,Branch,20,Student,84,1,414.43,4
345.81,Debit,Raleigh,Branch,40,Engineer,135,1,6116.8,3
143.54,Debit,Philadelphia,ATM,71,Retired,80,1,6067.62,1
42.55,Debit,Seattle,Branch,53,Engineer,29,1,7341.43,1
1063.25,Credit,Omaha,Online,21,Student,128,1,1240.71,4
541.79,Debit,Mesa,ATM,22,Student,125,1,1454.08,2
40.57,Debit,Columbus,Branch,26,Student,63,1,1476.91,2
120.24,Debit,Milwaukee,Branch,18,Student,131,2,1943.13,2
498.67,Debit,Miami,Online,28,Student,244,1,1719.97,0
227.22,Debit,El Paso,ATM,53,Doctor,220,1,832.82,0
1182.86,Debit,Tucson,Online,30,Engineer,34,1,7696.16,4
56.94,Credit,Charlotte,Online,76,Retired,74,1,7004.63,1
629.82,Debit,Colorado Springs,ATM,68,Retired,159,1,6385.69,4
59.44,Debit,Chicago,Online,35,Engineer,176,1,5472.03,0
186.69,Debit,New York,Branch,30,Engineer,54,1,8602.22,3
230.46,Debit,Mesa,Online,19,Student,179,1,162.53,2
65.09,Credit,Seattle,Online,44,Engineer,159,1,9370.9,3
457.09,Credit,Nashville,Online,55,Engineer,63,1,8570.82,3
552.02,Credit,Chicago,ATM,44,Engineer,100,1,522.08,4
377.12,Debit,Houston,ATM,34,Engineer,61,1,836.67,2
204.56,Credit,San Diego,Branch,18,Student,179,1,364.72,2
420.28,Debit,Washington,Branch,35,Doctor,144,1,8557.32,3
97.09,Debit,Fort Worth,ATM,24,Student,202,4,1579.57,2
124.59,Debit,Charlotte,Branch,27,Student,171,1,129.29,2
73.88,Debit,Charlotte,Online,39,Doctor,34,1,6474.41,3
77.43,Debit,Raleigh,Online,21,Student,169,1,1380.21,2
106.16,Debit,Phoenix,ATM,56,Doctor,277,4,7487.79,0
245.93,Debit,Fresno,Branch,54,Engineer,172,1,7986.63,0
622.41,Debit,Indianapolis,ATM,64,Doctor,125,1,7322.01,4
43.73,Debit,Omaha,ATM,34,Doctor,145,1,9929.43,3
1282.86,Debit,Austin,Branch,19,Student,68,1,1830.98,4
2.03,Credit,Detroit,ATM,33,Engineer,28,1,3012.31,2
770.65,Debit,Jacksonville,Online,31,Doctor,137,1,7198.8,4
260.31,Debit,Austin,Branch,63,Doctor,113,1,10980.38,3
356.1,Credit,Fort Worth,Branch,26,Student,187,1,868.35,2
27.07,Credit,Virginia Beach,Branch,80,Retired,39,1,3773.29,1
119.89,Debit,Tucson,ATM,67,Doctor,60,1,6697.77,1
106.39,Debit,Virginia Beach,Online,37,Doctor,281,1,9410.99,0
12.04,Debit,Fort Worth,Online,37,Engineer,58,1,6213.32,3
365.7,Debit,Houston,Branch,21,Student,115,2,368.78,2
29.38,Credit,Baltimore,Branch,28,Student,63,1,1663.31,2
319.85,Debit,Denver,ATM,60,Doctor,148,1,711.66,1
350.14,Credit,Los Angeles,Online,75,Retired,38,1,2403.25,1
163.94,Credit,Virginia Beach,Branch,52,Retired,73,1,5957.37,1
170.53,Debit,Oklahoma City,Branch,24,Student,58,1,801.01,2
262.22,Credit,Baltimore,ATM,40,Engineer,136,1,5711.71,3
41.49,Debit,Albuquerque,Online,24,Student,13,1,928.33,2
121.43,Credit,Sacramento,Branch,52,Engineer,243,1,7365.28,0
350.46,Debit,Nashville,Branch,51,Retired,165,1,5839.38,0
220.41,Credit,El Paso,Online,26,Engineer,155,1,5116.98,2
33.46,Debit,Seattle,ATM,72,Retired,111,1,3641.07,1
104.79,Debit,Denver,ATM,70,Doctor,223,1,1352.19,0
246.27,Debit,Fresno,Online,29,Doctor,141,1,7299.86,3
48.85,Debit,Dallas,ATM,19,Student,176,1,1503.56,2
332.0,Debit,Charlotte,ATM,69,Retired,17,1,5943.13,1
118.1,Debit,Memphis,Online,54,Engineer,167,1,895.66,0
84.59,Credit,Las Vegas,Branch,67,Doctor,10,1,5669.1,1
295.64,Debit,Jacksonville,Online,21,Student,82,1,1061.96,2
514.33,Debit,Philadelphia,Branch,25,Student,160,1,1592.94,2
992.17,Debit,San Antonio,ATM,43,Doctor,169,1,6215.96,4
94.59,Debit,Washington,Online,39,Doctor,34,1,6171.89,3
80.43,Debit,Columbus,Branch,59,Retired,157,1,5987.67,1
54.25,Debit,Virginia Beach,Online,68,Doctor,37,1,14783.33,3
178.88,Credit,Dallas,Branch,76,Retired,93,4,4708.29,1
518.85,Debit,Kansas City,Online,22,Student,82,1,1806.0,2
10.65,Debit,Louisville,Online,54,Doctor,161,1,13240.72,3
198.62,Credit,Tucson,Branch,27,Student,84,1,1196.07,2
107.03,Debit,Miami,Branch,27,Student,73,1,1408.07,2
139.57,Debit,Fort Worth,ATM,19,Student,263,3,271.78,0
312.47,Debit,Milwaukee,ATM,49,Engineer,148,4,9419.27,3
346.11,Debit,Dallas,Branch,41,Engineer,213,1,9551.64,0
138.06,Debit,Charlotte,Branch,44,Engineer,159,1,1070.47,2
158.02,Debit,New York,ATM,49,Engineer,120,1,9374.24,3
830.01,Credit,Chicago,Online,66,Retired,96,1,4253.18,4
435.5,Debit,Oklahoma City,ATM,55,Retired,112,1,6981.03,1
110.49,Debit,Raleigh,Online,57,Doctor,48,1,10483.93,3
329.4,Debit,Denver,Online,34,Doctor,68,1,9588.07,3
635.4,Debit,Denver,ATM,47,Doctor,106,1,1238.11,4
769.97,Debit,San Diego,Branch,22,Student,23,1,1244.93,4
175.07,Debit,Colorado Springs,Branch,26,Student,169,1,1040.25,2
7.31,Debit,Las Vegas,Branch,78,Retired,282,1,5757.67,0
175.15,Debit,Detroit,ATM,27,Student,32,1,1712.65,2
32.54,Debit,Oklahoma City,Online,25,Student,183,4,1544.88,2
121.82,Debit,Dallas,Online,60,Doctor,119,1,13293.83,3
56.12,Debit,El Paso,ATM,30,Doctor,102,1,8839.67,3
424.7,Credit,Miami,Online,56,Retired,178,1,6239.89,0
35.16,Debit,Chicago,Branch,32,Engineer,130,1,8459.18,3
35.73,Debit,Miami,Branch,65,Doctor,87,1,9073.17,1
3.44,Debit,Fort Worth,ATM,78,Retired,108,1,7561.33,1
1342.25,Credit,Fort Worth,Branch,21,Student,235,1,694.03,4
139.03,Credit,Los Angeles,Online,50,Engineer,81,1,2276.57,1
254.92,Credit,San Antonio,ATM,28,Engineer,169,1,2791.12,2
115.11,Debit,Albuquerque,Online,28,Engineer,139,1,9808.97,3
171.11,Debit,San Francisco,ATM,57,Retired,171,1,6324.09,0
168.54,Debit,Oklahoma City,ATM,70,Doctor,142,2,13406.0,3
420.76,Debit,Miami,Branch,51,Retired,76,1,6581.55,1
408.46,Debit,Raleigh,Branch,64,Retired,28,1,3140.79,1
1162.42,Credit,Detroit,Online,30,Doctor,45,1,10357.26,4
342.17,Credit,New York,Branch,21,Student,247,1,461.83,0
580.71,Debit,Philadelphia,ATM,53,Engineer,95,1,5670.0,4
821.54,Credit,Atlanta,Branch,79,Retired,36,1,4040.32,4
253.47,Debit,Atlanta,Branch,20,Student,238,1,220.51,0
22.81,Debit,New York,Online,62,Retired,75,1,3634.76,1
266.57,Credit,Boston,Online,39,Engineer,96,1,7180.48,3
374.61,Credit,Mesa,Online,75,Retired,37,1,1389.71,1
339.35,Credit,Boston,ATM,78,Retired,70,1,5002.7,1
810.36,Debit,Columbus,ATM,20,Student,67,1,9239.12,4
9.83,Debit,Memphis,ATM,24,Student,86,1,666.42,2
135.57,Credit,Boston,Branch,51,Doctor,116,1,11351.64,3
340.05,Debit,Detroit,ATM,43,Engineer,37,1,7234.15,3
283.45,Debit,Colorado Springs,Branch,27,Engineer,127,1,2049.51,2
100.99,Debit,New York,ATM,68,Doctor,114,1,8865.27,1
90.88,Debit,Albuquerque,Branch,18,Student,176,1,3908.47,2
655.15,Debit,Seattle,ATM,26,Engineer,264,1,5587.44,0
320.55,Debit,Milwaukee,Online,50,Engineer,118,1,438.75,1
41.51,Debit,Phoenix,Online,28,Student,48,1,609.6,2
71.53,Credit,Jacksonville,Branch,68,Retired,39,1,2393.73,1
467.13,Credit,Kansas City,Branch,54,Retired,45,1,3914.84,1
235.4,Debit,Detroit,Branch,28,Student,70,1,818.36,2
159.32,Debit,Seattle,Branch,18,Student,100,1,304.44,2
50.83,Credit,Philadelphia,Online,30,Doctor,48,1,9553.42,3
56.89,Credit,Houston,Branch,59,Engineer,56,1,3034.67,1
20.22,Debit,Jacksonville,ATM,43,Engineer,138,1,5515.32,1
50.4,Debit,San Antonio,Branch,36,Doctor,84,1,1677.01,2
73.88,Debit,Los Angeles,Branch,53,Retired,131,1,4055.55,1
119.61,Debit,San Diego,ATM,33,Doctor,53,1,9899.94,3
1241.05,Debit,Miami,Branch,18,Student,129,1,756.74,4
116.58,Debit,Raleigh,Branch,43,Engineer,247,1,2620.74,0
1919.11,Debit,Portland,ATM,30,Doctor,161,1,11090.24,4
391.96,Debit,Nashville,ATM,64,Retired,79,1,2174.16,1
156.26,Credit,Virginia Beach,Branch,46,Engineer,160,1,7854.1,3
427.0,Credit,Oklahoma City,Branch,49,Engineer,163,1,8253.65,3
443.68,Debit,Tucson,ATM,18,Student,137,1,874.15,2
101.76,Debit,Philadelphia,Branch,31,Doctor,26,1,6043.25,2
67.57,Debit,Charlotte,Branch,37,Engineer,107,1,2766.12,2
326.29,Debit,Denver,Online,56,Engineer,179,1,8171.26,0
158.56,Debit,Sacramento,ATM,33,Doctor,100,1,5401.21,2
56.02,Debit,Memphis,Online,27,Student,142,1,3548.02,2
288.28,Debit,Portland,Online,27,Student,36,1,160.83,2
245.67,Credit,Portland,Branch,24,Student,107,1,752.25,2
152.18,Credit,Los Angeles,Online,39,Engineer,176,4,2459.84,0
114.35,Credit,El Paso,Branch,41,Engineer,21,1,469.12,2
373.27,Credit,Miami,Online,61,Doctor,79,1,8441.61,1
504.63,Debit,Portland,Online,60,Engineer,168,1,3806.16,4
126.22,Debit,Atlanta,ATM,46,Engineer,77,4,6133.41,1
820.15,Debit,Kansas City,Branch,47,Doctor,181,1,8802.97,4
986.81,Credit,Houston,Online,68,Doctor,127,1,14881.77,4
8.37,Debit,Colorado Springs,ATM,63,Retired,135,1,1106.34,1
197.49,Credit,Fresno,Online,53,Retired,30,1,5005.33,1
637.97,Debit,New York,Branch,58,Retired,90,1,7949.03,4
13.52,Debit,Seattle,ATM,26,Student,65,1,259.77,2
432.1,Debit,San Francisco,ATM,49,Engineer,240,1,2114.3,0
375.17,Debit,Fort Worth,ATM,51,Engineer,66,2,5495.3,1
642.68,Debit,Fresno,Branch,50,Doctor,94,1,8461.46,4
78.44,Credit,San Jose,Online,52,Retired,292,1,6870.84,0
139.72,Debit,Memphis,Branch,49,Engineer,201,1,5058.83,0
499.99,Debit,San Jose,Branch,31,Engineer,296,1,8885.0,0
10.07,Debit,Albuquerque,Online,24,Student,49,1,530.81,2
120.62,Debit,Raleigh,ATM,23,Student,85,1,9379.53,3
578.49,Debit,Nashville,Branch,59,Retired,180,1,6475.13,4
119.3,Debit,Mesa,Branch,34,Engineer,22,5,319.04,2
280.92,Debit,Phoenix,Online,41,Doctor,168,1,5298.85,0
42.42,Debit,Sacramento,Online,21,Student,102,1,490.57,2
77.03,Debit,Fresno,ATM,67,Doctor,259,1,11310.27,0
22.59,Debit,Seattle,ATM,62,Retired,45,1,3988.75,1
568.76,Debit,Baltimore,ATM,51,Retired,155,1,7484.32,4
25.94,Credit,San Jose,Online,58,Retired,211,5,4815.11,0
105.94,Debit,Oklahoma City,Branch,51,Engineer,207,1,5963.1,0
733.29,Debit,Virginia Beach,ATM,52,Doctor,94,5,10427.0,4
350.15,Credit,Fresno,ATM,21,Student,195,1,296.47,2
1151.18,Debit,Kansas City,ATM,65,Doctor,105,1,1100.06,4
183.67,Debit,San Diego,Online,19,Student,238,1,910.26,0
278.27,Debit,Tucson,Branch,29,Doctor,123,1,6684.34,3
470.3,Debit,Austin,ATM,40,Doctor,88,1,8524.09,3
261.69,Debit,Philadelphia,ATM,53,Retired,84,1,5126.65,1
365.04,Debit,Virginia Beach,Branch,22,Student,94,1,873.89,2
211.1,Debit,Miami,Branch,57,Retired,136,1,7059.77,1
21.49,Debit,Denver,ATM,58,Doctor,240,1,11991.24,0
63.58,Debit,Columbus,ATM,18,Student,199,1,8086.04,0
321.86,Debit,San Antonio,ATM,63,Doctor,167,1,12626.49,3
12.11,Debit,Jacksonville,Branch,75,Retired,127,1,1730.28,1
642.54,Debit,Milwaukee,Branch,44,Engineer,28,1,3143.17,4
210.45,Debit,Las Vegas,ATM,27,Student,146,1,1242.49,2
313.65,Credit,Chicago,Branch,55,Retired,173,1,1886.36,0
99.76,Debit,Sacramento,Branch,26,Student,131,1,416.89,2
115.32,Debit,Denver,Branch,53,Retired,113,1,5929.08,1
33.61,Debit,Milwaukee,Online,23,Student,72,1,479.08,2
498.59,Credit,Oklahoma City,Online,33,Doctor,32,1,5862.99,4
98.81,Debit,San Francisco,Branch,27,Student,91,1,797.1,2
1.87,Debit,Washington,ATM,65,Retired,147,1,7287.94,1
78.92,Credit,Jacksonville,Online,59,Engineer,95,1,5624.86,1
194.29,Credit,Seattle,Branch,39,Engineer,10,1,2988.41,2
28.73,Debit,Kansas City,ATM,53,Engineer,185,1,2712.96,0
105.53,Debit,Colorado Springs,Online,24,Student,88,1,1433.66,2
737.34,Debit,Miami,Online,30,Doctor,34,1,7336.56,4
237.86,Debit,Philadelphia,ATM,18,Student,210,1,475.63,2
409.61,Debit,Kansas City,Branch,65,Doctor,89,1,11698.15,3
75.53,Credit,Fresno,Online,21,Student,157,1,1034.35,2
72.75,Debit,Phoenix,ATM,64,Doctor,15,1,12042.79,3
39.11,Debit,Columbus,Online,26,Student,143,1,518.54,2
1309.79,Debit,San Francisco,ATM,23,Student,139,1,1258.93,4
729.38,Debit,Los Angeles,ATM,68,Doctor,90,1,9127.65,4
137.49,Debit,Fort Worth,ATM,34,Engineer,50,1,4471.05,2
504.71,Debit,Detroit,Online,29,Engineer,61,1,6214.54,4
371.47,Credit,Milwaukee,Branch,24,Student,58,1,1187.04,2
430.35,Debit,Charlotte,Online,36,Doctor,205,1,354.9,0
230.32,Debit,Las Vegas,Branch,35,Engineer,56,1,791.46,2
121.71,Debit,Chicago,ATM,52,Retired,140,1,5878.89,1
98.87,Debit,Detroit,Online,20,Student,179,1,533.2,2
117.55,Debit,Fresno,ATM,24,Student,35,1,897.94,2
244.64,Debit,Tucson,Branch,30,Doctor,103,1,9159.56,3
321.93,Debit,Nashville,ATM,45,Engineer,12,1,4392.73,1
1092.73,Debit,Columbus,Branch,58,Retired,11,1,1390.98,4
283.23,Debit,El Paso,Online,40,Engineer,98,1,2008.77,2
346.65,Debit,Washington,Online,30,Engineer,60,1,6356.96,2
381.62,Debit,Las Vegas,Online,64,Retired,164,1,6009.12,1
388.65,Debit,Oklahoma City,ATM,76,Retired,43,1,7896.85,1
29.22,Debit,San Antonio,ATM,24,Student,151,1,1649.43,2
46.75,Debit,Colorado Springs,Branch,67,Retired,150,1,2840.43,1
348.64,Debit,San Jose,Online,57,Retired,128,1,3274.96,1
319.17,Debit,Tucson,Online,73,Retired,81,1,6501.56,1
73.95,Debit,Kansas City,ATM,26,Student,76,1,363.92,2
389.63,Debit,Mesa,Online,27,Engineer,99,1,9748.48,3
217.61,Debit,Chicago,ATM,19,Student,45,1,1404.53,2
199.84,Debit,Dallas,ATM,21,Student,150,1,706.44,2
56.35,Debit,Charlotte,ATM,44,Doctor,75,1,5095.73,1
248.95,Credit,San Francisco,Branch,65,Retired,29,1,3059.79,1
142.58,Debit,San Antonio,ATM,33,Engineer,145,1,7844.23,3
1020.73,Debit,Fort Worth,ATM,28,Student,87,1,1119.61,4
84.34,Debit,Memphis,Online,58,Retired,248,3,5313.97,0
1607.55,Debit,Phoenix,ATM,31,Engineer,156,1,6227.99,4
333.78,Debit,San Diego,ATM,60,Retired,98,1,6810.94,1
332.59,Debit,San Antonio,Online,55,Retired,143,1,1457.07,1
236.81,Debit,Oklahoma City,Branch,22,Student,15,1,813.68,2
417.8,Credit,Philadelphia,Branch,27,Student,130,1,1518.82,2
319.27,Debit,San Antonio,ATM,50,Doctor,150,1,10269.78,3
384.1,Debit,Detroit,Branch,42,Engineer,172,1,672.79,0
820.62,Credit,Fresno,Branch,61,Doctor,158,1,6024.8,4
474.77,Credit,Indianapolis,Online,56,Engineer,50,1,2158.59,1
542.72,Credit,Indianapolis,Branch,43,Doctor,92,1,6011.8,4
79.8,Debit,Fort Worth,ATM,73,Retired,76,1,6372.58,1
46.24,Debit,San Diego,Branch,57,Engineer,52,1,2569.56,1
327.8,Debit,San Francisco,ATM,61,Doctor,54,1,10585.48,3
445.79,Debit,Las Vegas,ATM,52,Doctor,161,1,717.99,4
55.89,Debit,Fresno,Online,72,Retired,150,1,3689.65,1
158.41,Debit,Sacramento,Branch,28,Student,16,1,1512.16,2
101.19,Credit,Denver,Online,64,Doctor,75,1,14389.45,3
827.14,Debit,El Paso,Branch,36,Engineer,265,4,9800.21,4
61.97,Debit,Phoenix,ATM,74,Retired,95,1,7014.69,1
27.21,Debit,San Jose,ATM,79,Retired,102,1,3520.61,1
173.74,Debit,Houston,Online,80,Retired,64,1,4913.42,1
176.11,Debit,San Jose,Branch,38,Engineer,105,1,9155.35,3
88.4,Debit,Fort Worth,Online,46,Engineer,174,1,2567.53,0
567.92,Debit,Columbus,Online,53,Retired,14,1,3779.47,4
138.11,Credit,Phoenix,Online,68,Retired,104,1,4177.65,1
456.93,Credit,Virginia Beach,Branch,28,Engineer,193,1,7284.76,0
101.42,Debit,Atlanta,Online,66,Retired,146,1,6530.59,1
300.61,Debit,El Paso,Online,44,Doctor,51,1,7895.54,3
265.94,Debit,Boston,Online,54,Engineer,132,1,6781.3,1
345.54,Debit,San Diego,Online,29,Engineer,50,1,2091.78,2
411.52,Debit,Los Angeles,ATM,41,Doctor,88,1,11108.39,3
111.21,Debit,Portland,Branch,35,Doctor,111,1,9088.36,3
316.37,Debit,Colorado Springs,ATM,53,Engineer,86,1,4671.69,1
260.63,Debit,Fort Worth,Branch,37,Engineer,142,1,7534.73,3
92.36,Debit,Dallas,ATM,29,Engineer,144,1,6353.14,2
262.06,Debit,Oklahoma City,Branch,63,Doctor,118,1,13587.52,3
64.5,Debit,Denver,ATM,74,Retired,230,1,1351.24,0
253.55,Debit,Jacksonville,ATM,28,Engineer,85,5,2797.26,2
408.28,Credit,Nashville,Branch,21,Student,125,3,1222.77,2
175.94,Debit,Indianapolis,ATM,57,Retired,89,1,3728.04,1
199.47,Debit,Detroit,Online,57,Doctor,142,1,6067.44,1
51.07,Debit,Dallas,Branch,63,Retired,133,1,4292.16,1
435.86,Debit,Jacksonville,ATM,56,Retired,134,1,3801.82,1
74.73,Credit,Jacksonville,Branch,64,Retired,162,1,6353.22,1
182.79,Credit,Louisville,Online,23,Student,14,1,1251.85,2
628.36,Debit,Austin,Online,44,Doctor,108,1,11869.71,3
268.39,Debit,San Antonio,Online,29,Doctor,177,1,9409.43,3
362.27,Debit,Jacksonville,ATM,80,Retired,47,1,6003.59,1
560.15,Credit,Memphis,Online,50,Engineer,92,1,817.83,4
